Filename,Latitude,Longitude,Altitude,Gimball_Roll,Gimball_Yaw,Gimball_Pitch,Flight_Roll,Flight_Yaw,Flight_Pitch
DJI_20250111225134_0108_D.JPG,44.71799058333333,26.03444738888889,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225159_0109_D.JPG,44.71800527777778,26.03437716666667,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225203_0110_D.JPG,44.71806516666667,26.034340500000003,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225207_0111_D.JPG,44.718124083333336,26.03430538888889,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225210_0112_D.JPG,44.71817638888889,26.034271194444447,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225213_0113_D.JPG,44.71822941666667,26.03423930555556,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225217_0114_D.JPG,44.718285333333334,26.03420430555556,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225220_0115_D.JPG,44.71833202777778,26.034174944444445,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225223_0116_D.JPG,44.718377611111116,26.03414502777778,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225228_0117_D.JPG,44.71843119444445,26.034110611111114,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225230_0118_D.JPG,44.71845938888889,26.034094333333336,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225235_0119_D.JPG,44.71849786111111,26.034072222222225,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225239_0120_D.JPG,44.71851916666667,26.034059972222224,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225242_0121_D.JPG,44.71854341666667,26.03404766666667,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225245_0122_D.JPG,44.718569888888894,26.03403405555556,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225249_0123_D.JPG,44.71861505555556,26.034012833333335,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225310_0124_D.JPG,44.71868033333334,26.03399277777778,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225314_0125_D.JPG,44.71874802777778,26.03396511111111,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225318_0126_D.JPG,44.718814638888894,26.03393516666667,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225321_0127_D.JPG,44.71887291666667,26.03390775,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225324_0128_D.JPG,44.71893747222222,26.03387811111111,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225328_0129_D.JPG,44.719,26.033851305555558,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225331_0130_D.JPG,44.719062944444445,26.03382388888889,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225333_0131_D.JPG,44.71910775,26.033803333333335,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225337_0132_D.JPG,44.71917194444445,26.033774805555556,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225340_0133_D.JPG,44.71922163888889,26.03375366666667,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225344_0134_D.JPG,44.71928027777778,26.033731388888892,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225347_0135_D.JPG,44.719340861111114,26.033706277777778,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225351_0136_D.JPG,44.71939855555556,26.033681750000003,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225354_0137_D.JPG,44.71945961111111,26.033655250000002,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225441_0138_D.JPG,44.71940980555556,26.033389722222225,111.317,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225444_0139_D.JPG,44.71939580555556,26.033397444444446,111.317,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225448_0140_D.JPG,44.71934780555556,26.03342277777778,111.417,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225451_0141_D.JPG,44.71928688888889,26.033452694444446,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225455_0142_D.JPG,44.71921461111111,26.03348766666667,111.317,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225506_0143_D.JPG,44.719199805555554,26.033494583333336,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225511_0144_D.JPG,44.719161972222224,26.03351375,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225515_0145_D.JPG,44.719103277777776,26.03354225,111.317,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225519_0146_D.JPG,44.71904058333334,26.033572972222224,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225522_0147_D.JPG,44.71897166666667,26.033608055555558,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225526_0148_D.JPG,44.71890438888889,26.033642694444445,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225530_0149_D.JPG,44.71882680555556,26.033681305555557,111.317,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225534_0150_D.JPG,44.71875852777778,26.033717861111114,111.217,0.0,0.0,0.0,0.0,0.0,-10
DJI_20250111225538_0151_D.JPG,44.71868391666667,26.03375827777778,111.217,0.0,0.0,0.0,0.0,0.0,-10
